,0
"('RATNAGIRI', 2021)",720.7072242114286
"('RATNAGIRI', 2022)",720.7072242114286
"('RATNAGIRI', 2023)",720.7072242114286
"('RATNAGIRI', 2024)",182.14013977459314
"('RATNAGIRI', 2025)",720.7072242114286
"('RATNAGIRI', 2026)",-94.94043000000003
"('RATNAGIRI', 2027)",-94.94043000000003
"('RATNAGIRI', 2028)",-94.94043000000003
"('RATNAGIRI', 2029)",-94.94043000000003
"('RATNAGIRI', 2030)",-94.94043000000003
"('RATNAGIRI', 2031)",-94.94043000000003
"('RATNAGIRI', 2032)",-94.94043000000003
"('RATNAGIRI', 2033)",-94.94043000000003
"('RATNAGIRI', 2034)",-94.94043000000003
"('RATNAGIRI', 2035)",-94.94043000000003
"('RATNAGIRI', 2036)",-0.12
"('RATNAGIRI', 2037)",-0.12
"('RATNAGIRI', 2038)",-0.12
"('RATNAGIRI', 2039)",-0.12
"('RATNAGIRI', 2040)",-0.12
"('BELLARY', 2021)",115.57927258809534
"('BELLARY', 2022)",115.57927258809534
"('BELLARY', 2023)",931.226926799524
"('BELLARY', 2024)",-224.27391666666662
"('BELLARY', 2025)",-224.27391666666662
"('BELLARY', 2026)",-224.27391666666662
"('BELLARY', 2027)",-224.27391666666662
"('BELLARY', 2028)",-224.27391666666662
"('BELLARY', 2029)",-224.27391666666662
"('BELLARY', 2030)",-224.27391666666662
"('BELLARY', 2031)",-224.27391666666662
"('BELLARY', 2032)",-224.27391666666662
"('BELLARY', 2033)",-224.27391666666662
"('BELLARY', 2034)",-224.27391666666662
"('BELLARY', 2035)",-0.17
"('BELLARY', 2036)",-0.17
"('BELLARY', 2037)",-0.17
"('BELLARY', 2038)",-0.17
"('BELLARY', 2039)",-0.17
"('BELLARY', 2040)",-0.17
"('TALWANDI SABO', 2021)",236.63700866142855
"('TALWANDI SABO', 2022)",-159.19200000000004
"('TALWANDI SABO', 2023)",-159.19200000000004
"('TALWANDI SABO', 2024)",-159.19200000000004
"('TALWANDI SABO', 2025)",-159.19200000000004
"('TALWANDI SABO', 2026)",-159.19200000000004
"('TALWANDI SABO', 2027)",-159.19200000000004
"('TALWANDI SABO', 2028)",-159.19200000000004
"('TALWANDI SABO', 2029)",-159.19200000000004
"('TALWANDI SABO', 2030)",-159.19200000000004
"('TALWANDI SABO', 2031)",-159.19200000000004
"('TALWANDI SABO', 2032)",-159.19200000000004
"('TALWANDI SABO', 2033)",-159.19200000000004
"('TALWANDI SABO', 2034)",-159.19200000000004
"('TALWANDI SABO', 2035)",-159.19200000000004
"('TALWANDI SABO', 2036)",-159.19200000000004
"('TALWANDI SABO', 2037)",-159.19200000000004
"('TALWANDI SABO', 2038)",-159.19200000000004
"('TALWANDI SABO', 2039)",-159.19200000000004
"('TALWANDI SABO', 2040)",-0.198
"('BARKHERA IPP', 2021)",6.962052666428576
"('BARKHERA IPP', 2022)",6.962052666428576
"('BARKHERA IPP', 2023)",-11.030175
"('BARKHERA IPP', 2024)",-11.030175
"('BARKHERA IPP', 2025)",-11.030175
"('BARKHERA IPP', 2026)",-11.030175
"('BARKHERA IPP', 2027)",-11.030175
"('BARKHERA IPP', 2028)",-11.030175
"('BARKHERA IPP', 2029)",-11.030175
"('BARKHERA IPP', 2030)",-11.030175
"('BARKHERA IPP', 2031)",-11.030175
"('BARKHERA IPP', 2032)",-11.030175
"('BARKHERA IPP', 2033)",-11.030175
"('BARKHERA IPP', 2034)",-11.030175
"('BARKHERA IPP', 2035)",-11.030175
"('BARKHERA IPP', 2036)",-11.030175
"('BARKHERA IPP', 2037)",-0.009
"('BARKHERA IPP', 2038)",-0.009
"('BARKHERA IPP', 2039)",-0.009
"('BARKHERA IPP', 2040)",-0.009
"('KUNDARKI IPP', 2021)",6.901827666428574
"('KUNDARKI IPP', 2022)",6.901827666428574
"('KUNDARKI IPP', 2023)",-11.090400000000002
"('KUNDARKI IPP', 2024)",-11.090400000000002
"('KUNDARKI IPP', 2025)",-11.090400000000002
"('KUNDARKI IPP', 2026)",-11.090400000000002
"('KUNDARKI IPP', 2027)",-11.090400000000002
"('KUNDARKI IPP', 2028)",-11.090400000000002
"('KUNDARKI IPP', 2029)",-11.090400000000002
"('KUNDARKI IPP', 2030)",-11.090400000000002
"('KUNDARKI IPP', 2031)",-11.090400000000002
"('KUNDARKI IPP', 2032)",-11.090400000000002
"('KUNDARKI IPP', 2033)",-11.090400000000002
"('KUNDARKI IPP', 2034)",-11.090400000000002
"('KUNDARKI IPP', 2035)",-11.090400000000002
"('KUNDARKI IPP', 2036)",-11.090400000000002
"('KUNDARKI IPP', 2037)",-11.090400000000002
"('KUNDARKI IPP', 2038)",-0.009
"('KUNDARKI IPP', 2039)",-0.009
"('KUNDARKI IPP', 2040)",-0.009
"('MAQSOODPUR', 2021)",6.962052666428576
"('MAQSOODPUR', 2022)",6.962052666428576
"('MAQSOODPUR', 2023)",-11.030175
"('MAQSOODPUR', 2024)",-11.030175
"('MAQSOODPUR', 2025)",-11.030175
"('MAQSOODPUR', 2026)",-11.030175
"('MAQSOODPUR', 2027)",-11.030175
"('MAQSOODPUR', 2028)",-11.030175
"('MAQSOODPUR', 2029)",-11.030175
"('MAQSOODPUR', 2030)",-11.030175
"('MAQSOODPUR', 2031)",-11.030175
"('MAQSOODPUR', 2032)",-11.030175
"('MAQSOODPUR', 2033)",-11.030175
"('MAQSOODPUR', 2034)",-11.030175
"('MAQSOODPUR', 2035)",-11.030175
"('MAQSOODPUR', 2036)",-11.030175
"('MAQSOODPUR', 2037)",-0.009
"('MAQSOODPUR', 2038)",-0.009
"('MAQSOODPUR', 2039)",-0.009
"('MAQSOODPUR', 2040)",-0.009
"('GOINDWAL SAHIB', 2021)",297.2468943951428
"('GOINDWAL SAHIB', 2022)",297.2468943951428
"('GOINDWAL SAHIB', 2023)",297.2468943951428
"('GOINDWAL SAHIB', 2024)",297.2468943951428
"('GOINDWAL SAHIB', 2025)",297.2468943951428
"('GOINDWAL SAHIB', 2026)",297.2468943951428
"('GOINDWAL SAHIB', 2027)",297.2468943951428
"('GOINDWAL SAHIB', 2028)",38.158815998571455
"('GOINDWAL SAHIB', 2029)",297.2468943951428
"('GOINDWAL SAHIB', 2030)",297.2468943951428
"('GOINDWAL SAHIB', 2031)",297.2468943951428
"('GOINDWAL SAHIB', 2032)",297.2468943951428
"('GOINDWAL SAHIB', 2033)",38.158815998571455
"('GOINDWAL SAHIB', 2034)",297.2468943951428
"('GOINDWAL SAHIB', 2035)",297.2468943951428
"('GOINDWAL SAHIB', 2036)",216.7128252834398
"('GOINDWAL SAHIB', 2037)",297.2468943951428
"('GOINDWAL SAHIB', 2038)",297.2468943951428
"('GOINDWAL SAHIB', 2039)",297.2468943951428
"('GOINDWAL SAHIB', 2040)",297.2468943951428
"('BONGAIGAON NTPC', 2021)",294.70381513214295
"('BONGAIGAON NTPC', 2022)",294.70381513214295
"('BONGAIGAON NTPC', 2023)",294.70381513214295
"('BONGAIGAON NTPC', 2024)",294.70381513214295
"('BONGAIGAON NTPC', 2025)",294.70381513214295
"('BONGAIGAON NTPC', 2026)",294.70381513214295
"('BONGAIGAON NTPC', 2027)",294.70381513214295
"('BONGAIGAON NTPC', 2028)",-65.14073819642854
"('BONGAIGAON NTPC', 2029)",294.70381513214295
"('BONGAIGAON NTPC', 2030)",294.70381513214295
"('BONGAIGAON NTPC', 2031)",294.70381513214295
"('BONGAIGAON NTPC', 2032)",294.70381513214295
"('BONGAIGAON NTPC', 2033)",-65.14073819642854
"('BONGAIGAON NTPC', 2034)",294.70381513214295
"('BONGAIGAON NTPC', 2035)",294.70381513214295
"('BONGAIGAON NTPC', 2036)",294.70381513214295
"('BONGAIGAON NTPC', 2037)",294.70381513214295
"('BONGAIGAON NTPC', 2038)",294.70381513214295
"('BONGAIGAON NTPC', 2039)",294.70381513214295
"('BONGAIGAON NTPC', 2040)",294.70381513214295
"('NEYVELI NEW THERMAL', 2021)",281.9202725880953
"('NEYVELI NEW THERMAL', 2022)",281.9202725880953
"('NEYVELI NEW THERMAL', 2023)",281.9202725880953
"('NEYVELI NEW THERMAL', 2024)",281.9202725880953
"('NEYVELI NEW THERMAL', 2025)",281.9202725880953
"('NEYVELI NEW THERMAL', 2026)",281.9202725880953
"('NEYVELI NEW THERMAL', 2027)",281.9202725880953
"('NEYVELI NEW THERMAL', 2028)",42.02390370238097
"('NEYVELI NEW THERMAL', 2029)",281.9202725880953
"('NEYVELI NEW THERMAL', 2030)",281.9202725880953
"('NEYVELI NEW THERMAL', 2031)",281.9202725880953
"('NEYVELI NEW THERMAL', 2032)",281.9202725880953
"('NEYVELI NEW THERMAL', 2033)",107.12226634524802
"('NEYVELI NEW THERMAL', 2034)",281.9202725880953
"('NEYVELI NEW THERMAL', 2035)",281.9202725880953
"('NEYVELI NEW THERMAL', 2036)",281.9202725880953
"('NEYVELI NEW THERMAL', 2037)",281.9202725880953
"('NEYVELI NEW THERMAL', 2038)",281.9202725880953
"('NEYVELI NEW THERMAL', 2039)",281.9202725880953
"('NEYVELI NEW THERMAL', 2040)",281.9202725880953
"('MUTIARA', 2021)",650.1096542114286
"('MUTIARA', 2022)",650.1096542114286
"('MUTIARA', 2023)",650.1096542114286
"('MUTIARA', 2024)",74.3583688857143
"('MUTIARA', 2025)",74.3583688857143
"('MUTIARA', 2026)",74.3583688857143
"('MUTIARA', 2027)",74.3583688857143
"('MUTIARA', 2028)",74.3583688857143
"('MUTIARA', 2029)",74.3583688857143
"('MUTIARA', 2030)",74.3583688857143
"('MUTIARA', 2031)",74.3583688857143
"('MUTIARA', 2032)",74.3583688857143
"('MUTIARA', 2033)",74.3583688857143
"('MUTIARA', 2034)",74.3583688857143
"('MUTIARA', 2035)",74.3583688857143
"('MUTIARA', 2036)",74.3583688857143
"('MUTIARA', 2037)",123.65643369841075
"('MUTIARA', 2038)",74.3583688857143
"('MUTIARA', 2039)",74.3583688857143
"('MUTIARA', 2040)",239.7763688857143
"('HARDUAGANJ', 2021)",414.55989089080964
"('HARDUAGANJ', 2022)",414.55989089080964
"('HARDUAGANJ', 2023)",414.55989089080964
"('HARDUAGANJ', 2024)",414.55989089080964
"('HARDUAGANJ', 2025)",414.55989089080964
"('HARDUAGANJ', 2026)",414.55989089080964
"('HARDUAGANJ', 2027)",414.55989089080964
"('HARDUAGANJ', 2028)",339.0583408664267
"('HARDUAGANJ', 2029)",414.55989089080964
"('HARDUAGANJ', 2030)",414.55989089080964
"('HARDUAGANJ', 2031)",414.55989089080964
"('HARDUAGANJ', 2032)",414.55989089080964
"('HARDUAGANJ', 2033)",414.55989089080964
"('HARDUAGANJ', 2034)",414.55989089080964
"('HARDUAGANJ', 2035)",414.55989089080964
"('HARDUAGANJ', 2036)",414.55989089080964
"('HARDUAGANJ', 2037)",414.55989089080964
"('HARDUAGANJ', 2038)",414.55989089080964
"('HARDUAGANJ', 2039)",414.55989089080964
"('HARDUAGANJ', 2040)",414.55989089080964
"('DARLIPALI', 2021)",430.19443614095246
"('DARLIPALI', 2022)",430.19443614095246
"('DARLIPALI', 2023)",430.19443614095246
"('DARLIPALI', 2024)",430.19443614095246
"('DARLIPALI', 2025)",430.19443614095246
"('DARLIPALI', 2026)",430.19443614095246
"('DARLIPALI', 2027)",430.19443614095246
"('DARLIPALI', 2028)",430.19443614095246
"('DARLIPALI', 2029)",430.19443614095246
"('DARLIPALI', 2030)",430.19443614095246
"('DARLIPALI', 2031)",46.36024592380954
"('DARLIPALI', 2032)",430.19443614095246
"('DARLIPALI', 2033)",430.19443614095246
"('DARLIPALI', 2034)",430.19443614095246
"('DARLIPALI', 2035)",430.19443614095246
"('DARLIPALI', 2036)",430.19443614095246
"('DARLIPALI', 2037)",430.19443614095246
"('DARLIPALI', 2038)",430.19443614095246
"('DARLIPALI', 2039)",430.19443614095246
"('DARLIPALI', 2040)",430.19443614095246
"('SAGARDIGHI', 2021)",197.25649184761906
"('SAGARDIGHI', 2022)",197.25649184761906
"('SAGARDIGHI', 2023)",197.25649184761906
"('SAGARDIGHI', 2024)",197.25649184761906
"('SAGARDIGHI', 2025)",964.9248722819049
"('SAGARDIGHI', 2026)",197.25649184761906
"('SAGARDIGHI', 2027)",197.25649184761906
"('SAGARDIGHI', 2028)",197.25649184761906
"('SAGARDIGHI', 2029)",964.9248722819049
"('SAGARDIGHI', 2030)",197.25649184761906
"('SAGARDIGHI', 2031)",197.25649184761906
"('SAGARDIGHI', 2032)",197.25649184761906
"('SAGARDIGHI', 2033)",197.25649184761906
"('SAGARDIGHI', 2034)",319.70182518095237
"('SAGARDIGHI', 2035)",1087.370205615238
"('SAGARDIGHI', 2036)",319.70182518095237
"('SAGARDIGHI', 2037)",1087.370205615238
"('SAGARDIGHI', 2038)",319.70182518095237
"('SAGARDIGHI', 2039)",1087.370205615238
"('SAGARDIGHI', 2040)",319.70182518095237
"('NASIK SINNAR', 2021)",-132.766875
"('NASIK SINNAR', 2022)",-132.766875
"('NASIK SINNAR', 2023)",-132.766875
"('NASIK SINNAR', 2024)",-132.766875
"('NASIK SINNAR', 2025)",-132.766875
"('NASIK SINNAR', 2026)",-132.766875
"('NASIK SINNAR', 2027)",-132.766875
"('NASIK SINNAR', 2028)",-132.766875
"('NASIK SINNAR', 2029)",-132.766875
"('NASIK SINNAR', 2030)",-132.766875
"('NASIK SINNAR', 2031)",-132.766875
"('NASIK SINNAR', 2032)",-132.766875
"('NASIK SINNAR', 2033)",-132.766875
"('NASIK SINNAR', 2034)",-132.766875
"('NASIK SINNAR', 2035)",-132.766875
"('NASIK SINNAR', 2036)",-132.766875
"('NASIK SINNAR', 2037)",-132.766875
"('NASIK SINNAR', 2038)",-132.766875
"('NASIK SINNAR', 2039)",-132.766875
"('NASIK SINNAR', 2040)",-0.135
"('KUTCH OPG', 2021)",139.66016355285717
"('KUTCH OPG', 2022)",139.66016355285717
"('KUTCH OPG', 2023)",-4.277657778571424
"('KUTCH OPG', 2024)",-4.277657778571424
"('KUTCH OPG', 2025)",139.66016355285717
"('KUTCH OPG', 2026)",-4.277657778571424
"('KUTCH OPG', 2027)",139.66016355285717
"('KUTCH OPG', 2028)",-4.277657778571424
"('KUTCH OPG', 2029)",-4.277657778571424
"('KUTCH OPG', 2030)",-4.277657778571424
"('KUTCH OPG', 2031)",-4.277657778571424
"('KUTCH OPG', 2032)",-4.277657778571424
"('KUTCH OPG', 2033)",-4.277657778571424
"('KUTCH OPG', 2034)",-4.277657778571424
"('KUTCH OPG', 2035)",-4.277657778571424
"('KUTCH OPG', 2036)",-4.277657778571424
"('KUTCH OPG', 2037)",-4.277657778571424
"('KUTCH OPG', 2038)",-4.277657778571424
"('KUTCH OPG', 2039)",139.66016355285717
"('KUTCH OPG', 2040)",139.66016355285717
"('SAHAJBAHAL', 2021)",177.77714914500007
"('SAHAJBAHAL', 2022)",177.77714914500007
"('SAHAJBAHAL', 2023)",9.849690925000019
"('SAHAJBAHAL', 2024)",177.77714914500007
"('SAHAJBAHAL', 2025)",177.77714914500007
"('SAHAJBAHAL', 2026)",9.849690925000019
"('SAHAJBAHAL', 2027)",177.77714914500007
"('SAHAJBAHAL', 2028)",9.849690925000019
"('SAHAJBAHAL', 2029)",9.849690925000019
"('SAHAJBAHAL', 2030)",9.849690925000019
"('SAHAJBAHAL', 2031)",9.849690925000019
"('SAHAJBAHAL', 2032)",9.849690925000019
"('SAHAJBAHAL', 2033)",9.849690925000019
"('SAHAJBAHAL', 2034)",9.849690925000019
"('SAHAJBAHAL', 2035)",9.849690925000019
"('SAHAJBAHAL', 2036)",177.77714914500007
"('SAHAJBAHAL', 2037)",9.849690925000019
"('SAHAJBAHAL', 2038)",9.849690925000019
"('SAHAJBAHAL', 2039)",177.77714914500007
"('SAHAJBAHAL', 2040)",177.77714914500007
"('RAJPURA NABHA', 2021)",94.1587160333334
"('RAJPURA NABHA', 2022)",94.1587160333334
"('RAJPURA NABHA', 2023)",395.8122780029339
"('RAJPURA NABHA', 2024)",765.8685489133336
"('RAJPURA NABHA', 2025)",94.1587160333334
"('RAJPURA NABHA', 2026)",765.8685489133336
"('RAJPURA NABHA', 2027)",94.1587160333334
"('RAJPURA NABHA', 2028)",94.1587160333334
"('RAJPURA NABHA', 2029)",94.1587160333334
"('RAJPURA NABHA', 2030)",442.9098879963117
"('RAJPURA NABHA', 2031)",94.1587160333334
"('RAJPURA NABHA', 2032)",578.2278713060105
"('RAJPURA NABHA', 2033)",94.1587160333334
"('RAJPURA NABHA', 2034)",94.1587160333334
"('RAJPURA NABHA', 2035)",765.8685489133336
"('RAJPURA NABHA', 2036)",94.1587160333334
"('RAJPURA NABHA', 2037)",765.8685489133336
"('RAJPURA NABHA', 2038)",94.1587160333334
"('RAJPURA NABHA', 2039)",765.8685489133336
"('RAJPURA NABHA', 2040)",279.7390970333334
"('INDIRA GANDHI', 2021)",55.809211107142886
"('INDIRA GANDHI', 2022)",55.809211107142886
"('INDIRA GANDHI', 2023)",55.809211107142886
"('INDIRA GANDHI', 2024)",55.809211107142886
"('INDIRA GANDHI', 2025)",55.809211107142886
"('INDIRA GANDHI', 2026)",55.809211107142886
"('INDIRA GANDHI', 2027)",55.809211107142886
"('INDIRA GANDHI', 2028)",775.4983177642858
"('INDIRA GANDHI', 2029)",55.809211107142886
"('INDIRA GANDHI', 2030)",55.809211107142886
"('INDIRA GANDHI', 2031)",55.809211107142886
"('INDIRA GANDHI', 2032)",55.809211107142886
"('INDIRA GANDHI', 2033)",55.809211107142886
"('INDIRA GANDHI', 2034)",55.809211107142886
"('INDIRA GANDHI', 2035)",775.4983177642858
"('INDIRA GANDHI', 2036)",-244.06125
"('INDIRA GANDHI', 2037)",-0.15
"('INDIRA GANDHI', 2038)",-0.15
"('INDIRA GANDHI', 2039)",-0.15
"('INDIRA GANDHI', 2040)",-0.15
"('GURU HARGOBIND', 2021)",508.8831682287621
"('GURU HARGOBIND', 2022)",508.8831682287621
"('GURU HARGOBIND', 2023)",625.2378682287621
"('GURU HARGOBIND', 2024)",625.2378682287621
"('GURU HARGOBIND', 2025)",625.2378682287621
"('GURU HARGOBIND', 2026)",625.2378682287621
"('GURU HARGOBIND', 2027)",625.2378682287621
"('GURU HARGOBIND', 2028)",625.2378682287621
"('GURU HARGOBIND', 2029)",625.2378682287621
"('GURU HARGOBIND', 2030)",625.2378682287621
"('GURU HARGOBIND', 2031)",625.2378682287621
"('GURU HARGOBIND', 2032)",625.2378682287621
"('GURU HARGOBIND', 2033)",625.2378682287621
"('GURU HARGOBIND', 2034)",625.2378682287621
"('GURU HARGOBIND', 2035)",625.2378682287621
"('GURU HARGOBIND', 2036)",625.2378682287621
"('GURU HARGOBIND', 2037)",625.2378682287621
"('GURU HARGOBIND', 2038)",625.2378682287621
"('GURU HARGOBIND', 2039)",625.2378682287621
"('GURU HARGOBIND', 2040)",625.2378682287621
"('RAICHUR', 2021)",1168.9229710363809
"('RAICHUR', 2022)",343.6794620695238
"('RAICHUR', 2023)",343.6794620695238
"('RAICHUR', 2024)",343.6794620695238
"('RAICHUR', 2025)",343.6794620695238
"('RAICHUR', 2026)",343.6794620695238
"('RAICHUR', 2027)",1168.9229710363809
"('RAICHUR', 2028)",1168.9229710363809
"('RAICHUR', 2029)",1168.9229710363809
"('RAICHUR', 2030)",1168.9229710363809
"('RAICHUR', 2031)",1168.9229710363809
"('RAICHUR', 2032)",343.6794620695238
"('RAICHUR', 2033)",343.6794620695238
"('RAICHUR', 2034)",343.6794620695238
"('RAICHUR', 2035)",343.6794620695238
"('RAICHUR', 2036)",1168.9229710363809
"('RAICHUR', 2037)",1168.9229710363809
"('RAICHUR', 2038)",1168.9229710363809
"('RAICHUR', 2039)",1168.9229710363809
"('RAICHUR', 2040)",1168.9229710363809
"('MAHATMA GANDHI', 2021)",751.3359196325716
"('MAHATMA GANDHI', 2022)",118.00950577428574
"('MAHATMA GANDHI', 2023)",118.00950577428574
"('MAHATMA GANDHI', 2024)",751.3359196325716
"('MAHATMA GANDHI', 2025)",751.3359196325716
"('MAHATMA GANDHI', 2026)",118.00950577428574
"('MAHATMA GANDHI', 2027)",751.3359196325716
"('MAHATMA GANDHI', 2028)",751.3359196325716
"('MAHATMA GANDHI', 2029)",751.3359196325716
"('MAHATMA GANDHI', 2030)",751.3359196325716
"('MAHATMA GANDHI', 2031)",751.3359196325716
"('MAHATMA GANDHI', 2032)",751.3359196325716
"('MAHATMA GANDHI', 2033)",751.3359196325716
"('MAHATMA GANDHI', 2034)",118.00950577428574
"('MAHATMA GANDHI', 2035)",751.3359196325716
"('MAHATMA GANDHI', 2036)",751.3359196325716
"('MAHATMA GANDHI', 2037)",751.3359196325716
"('MAHATMA GANDHI', 2038)",422.01322041830053
"('MAHATMA GANDHI', 2039)",897.0804196325716
"('MAHATMA GANDHI', 2040)",897.0804196325716
"('RAJIV GANDHI (HISAR)', 2021)",738.4396542114287
"('RAJIV GANDHI (HISAR)', 2022)",738.4396542114287
"('RAJIV GANDHI (HISAR)', 2023)",738.4396542114287
"('RAJIV GANDHI (HISAR)', 2024)",162.68836888571434
"('RAJIV GANDHI (HISAR)', 2025)",162.68836888571434
"('RAJIV GANDHI (HISAR)', 2026)",162.68836888571434
"('RAJIV GANDHI (HISAR)', 2027)",162.68836888571434
"('RAJIV GANDHI (HISAR)', 2028)",738.4396542114287
"('RAJIV GANDHI (HISAR)', 2029)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2030)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2031)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2032)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2033)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2034)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2035)",-77.20799999999998
"('RAJIV GANDHI (HISAR)', 2036)",-0.12
"('RAJIV GANDHI (HISAR)', 2037)",-0.12
"('RAJIV GANDHI (HISAR)', 2038)",-0.12
"('RAJIV GANDHI (HISAR)', 2039)",-0.12
"('RAJIV GANDHI (HISAR)', 2040)",-0.12
"('KUTCH GSECL', 2021)",197.0858497677619
"('KUTCH GSECL', 2022)",197.0858497677619
"('KUTCH GSECL', 2023)",57.94595581404763
"('KUTCH GSECL', 2024)",57.94595581404763
"('KUTCH GSECL', 2025)",197.0858497677619
"('KUTCH GSECL', 2026)",57.94595581404763
"('KUTCH GSECL', 2027)",197.0858497677619
"('KUTCH GSECL', 2028)",57.94595581404763
"('KUTCH GSECL', 2029)",57.94595581404763
"('KUTCH GSECL', 2030)",57.94595581404763
"('KUTCH GSECL', 2031)",57.94595581404763
"('KUTCH GSECL', 2032)",57.94595581404763
"('KUTCH GSECL', 2033)",57.94595581404763
"('KUTCH GSECL', 2034)",57.94595581404763
"('KUTCH GSECL', 2035)",57.94595581404763
"('KUTCH GSECL', 2036)",57.94595581404763
"('KUTCH GSECL', 2037)",57.94595581404763
"('KUTCH GSECL', 2038)",57.94595581404763
"('KUTCH GSECL', 2039)",197.0858497677619
"('KUTCH GSECL', 2040)",197.0858497677619
"('CHENNAI OPG', 2021)",195.72804070294296
"('CHENNAI OPG', 2022)",195.72804070294296
"('CHENNAI OPG', 2023)",-2.906152734428531
"('CHENNAI OPG', 2024)",195.72804070294296
"('CHENNAI OPG', 2025)",195.72804070294296
"('CHENNAI OPG', 2026)",-2.906152734428531
"('CHENNAI OPG', 2027)",195.72804070294296
"('CHENNAI OPG', 2028)",-2.906152734428531
"('CHENNAI OPG', 2029)",-2.906152734428531
"('CHENNAI OPG', 2030)",-2.906152734428531
"('CHENNAI OPG', 2031)",-2.906152734428531
"('CHENNAI OPG', 2032)",-2.906152734428531
"('CHENNAI OPG', 2033)",-2.906152734428531
"('CHENNAI OPG', 2034)",-2.906152734428531
"('CHENNAI OPG', 2035)",-2.906152734428531
"('CHENNAI OPG', 2036)",281.3570407029429
"('CHENNAI OPG', 2037)",82.72284726557146
"('CHENNAI OPG', 2038)",82.72284726557146
"('CHENNAI OPG', 2039)",281.3570407029429
"('CHENNAI OPG', 2040)",281.3570407029429
"('SRI DAMODARAM SANJEEVAIAH', 2021)",188.98315851428575
"('SRI DAMODARAM SANJEEVAIAH', 2022)",188.98315851428575
"('SRI DAMODARAM SANJEEVAIAH', 2023)",188.98315851428575
"('SRI DAMODARAM SANJEEVAIAH', 2024)",-130.87866666666665
"('SRI DAMODARAM SANJEEVAIAH', 2025)",-130.87866666666665
