Plant,VariableCost,FixedCost,AvgPPAPrice,MarketPrice,Capacity,StartYear,Life,OptimalUsage
RATNAGIRI,38.75,10.612009803921572,49.36200980392157,41.666666666666664,1200.0,2010,11,0.0
BELLARY,57.22222222222222,17.704248366013072,74.92647058823529,41.666666666666664,1700.0,2009,12,0.0
TALWANDI SABO,39.583333333333336,10.784313725490197,50.367647058823536,41.666666666666664,1980.0,2014,7,0.0
BARKHERA IPP,47.77777777777778,16.44607843137255,64.22385620915033,41.666666666666664,90.0,2011,10,0.0
KUNDARKI IPP,44.72222222222222,16.535947712418302,61.25816993464052,41.666666666666664,90.0,2012,9,0.0
MAQSOODPUR,45.27777777777778,16.44607843137255,61.72385620915033,41.666666666666664,90.0,2011,10,0.0
GOINDWAL SAHIB,40.833333333333336,17.344771241830063,58.1781045751634,41.666666666666664,540.0,2016,5,0.0
BONGAIGAON NTPC,41.25,38.49959150326797,79.74959150326796,41.666666666666664,750.0,2015,6,0.0
NEYVELI NEW THERMAL,33.47222222222222,15.547385620915033,49.01960784313725,41.666666666666664,500.0,2018,3,0.0
MUTIARA,48.75,18.513071895424837,67.26307189542484,41.666666666666664,1200.0,2014,7,0.0
HARDUAGANJ,46.25,15.805179738562092,62.05517973856209,41.666666666666664,610.0,1978,43,0.0
DARLIPALI,14.305555555555555,19.052287581699346,33.3578431372549,41.666666666666664,800.0,2018,3,0.0
SAGARDIGHI,45.27777777777778,10.277777777777779,55.55555555555556,41.666666666666664,1600.0,2008,13,0.0
NASIK SINNAR,43.90204607700983,13.194444444444445,57.09649052145427,41.666666666666664,1350.0,2014,7,0.0
KUTCH OPG,41.80555555555556,28.75,70.55555555555556,41.666666666666664,300.0,2015,6,0.0
SAHAJBAHAL,37.638888888888886,23.055555555555557,60.69444444444444,41.666666666666664,350.0,2015,6,0.0
RAJPURA NABHA,31.38888888888889,17.8025,49.19138888888889,41.666666666666664,1400.0,2014,7,0.0
INDIRA GANDHI,43.611111111111114,21.83823529411765,65.44934640522877,41.666666666666664,1500.0,2011,10,0.0
GURU HARGOBIND,50.138888888888886,16.985294117647058,67.12418300653594,41.666666666666664,920.0,1997,24,0.0
RAICHUR,49.72222222222222,12.089673202614378,61.8118954248366,41.666666666666664,1720.0,1985,36,0.0
MAHATMA GANDHI,44.72222222222222,14.828431372549021,59.55065359477124,41.666666666666664,1320.0,2012,9,0.0
RAJIV GANDHI (HISAR),50.97222222222222,8.627450980392156,59.599673202614376,41.666666666666664,1200.0,2010,11,0.0
KUTCH GSECL,40.69444444444444,15.45751633986928,56.15196078431372,41.666666666666664,290.0,1990,31,0.0
CHENNAI OPG,27.77777777777778,27.77777777777778,55.55555555555556,41.666666666666664,414.0,2010,11,0.0
SRI DAMODARAM SANJEEVAIAH,42.02244777401858,10.972222222222221,52.9946699962408,41.666666666666664,1600.0,2014,7,0.0
METTUR,58.05555555555556,31.11111111111111,89.16666666666667,41.666666666666664,1440.0,1987,34,0.0
VADINAR POWER,42.96678331428165,12.588772241273908,55.55555555555556,41.666666666666664,510.0,2012,9,0.0
GUMMIDIPOONDI CAUVERY,42.93745590563166,12.618099649923899,55.55555555555556,41.666666666666664,63.0,2012,9,0.0
NORTH CHENNAI,48.611111111111114,20.23496732026144,68.84607843137255,41.666666666666664,1830.0,1994,27,0.0
PANIPAT,48.333333333333336,8.537581699346406,56.87091503267974,41.666666666666664,710.0,2001,20,0.0
GANDHINAGAR,54.375,7.6838235294117645,62.05882352941177,41.666666666666664,610.0,1990,31,0.0
PALONCHA PLANT,48.47222222222222,26.805555555555557,75.27777777777777,41.666666666666664,238.0,1997,24,0.0
DHULE SHIRPUR,36.81059298611112,19.871873930555555,56.68246691666667,41.666666666666664,150.0,2018,3,0.0
PARADIP ESSAR,42.937451566369624,12.618103989185933,55.55555555555556,41.666666666666664,64.0,2015,6,0.0
KAHALGAON,31.805555555555557,13.776960784313724,45.58251633986928,41.666666666666664,2340.0,1992,29,0.0
KOTA,49.166666666666664,5.9604575163398685,55.12712418300653,41.666666666666664,1240.0,1983,38,0.0
GURU GOBIND SINGH (ROPAR),38.05555555555556,23.75,61.80555555555556,41.666666666666664,840.0,1988,33,0.0
THERMAL POWERTECH,32.083333333333336,22.77777777777778,54.861111111111114,41.666666666666664,1320.0,2016,5,0.0
VALLUR,50.833333333333336,16.086601307189543,66.91993464052288,41.666666666666664,1500.0,2012,9,0.0
SURATGARH,57.916666666666664,6.650326797385621,64.56699346405229,41.666666666666664,2160.0,1998,23,0.0
UTRAULA,46.111111111111114,16.985294117647058,63.09640522875817,41.666666666666664,90.0,2012,9,0.0
MAADURGA TANGI,41.89249820395739,13.66305735159817,55.55555555555556,41.666666666666664,60.0,2013,8,0.0
KHARAGPRASAD,48.869555875,6.685999680555554,55.55555555555556,41.666666666666664,94.0,2006,15,0.0
NCTPP (DADRI),46.25,30.13888888888889,76.38888888888889,41.666666666666664,1820.0,1991,30,0.0
TUTICORIN,46.666666666666664,8.080065359477123,54.74673202614379,41.666666666666664,1050.0,1978,43,0.0
TUTICORIN NTPL,39.583333333333336,13.967728758169933,53.55106209150327,41.666666666666664,1000.0,2015,6,0.0
WANAKBORI,50.763888888888886,5.167483660130718,55.931372549019606,41.666666666666664,2270.0,1982,39,0.0
DEENBANDHU CHHOTU RAM,46.72144352777778,23.47222222222222,70.19366575000001,41.666666666666664,600.0,2008,13,0.0
SIKKA,48.05555555555556,15.936830065359478,63.99238562091504,41.666666666666664,500.0,2015,6,0.0
SABARMATI,36.94444444444444,17.27205882352941,54.21650326797385,41.666666666666664,362.0,1979,42,0.0
LALITPUR,40.27777777777778,20.310457516339866,60.588235294117645,41.666666666666664,1980.0,2015,6,0.0
KUDGI,45.833333333333336,14.91830065359477,60.751633986928105,41.666666666666664,2400.0,2017,4,0.0
NCC POWER,30.207829869502177,10.972222222222221,41.1800520917244,41.666666666666664,1320.0,2016,5,0.0
JHABUA POWER,33.05555555555556,30.27777777777778,63.333333333333336,41.666666666666664,600.0,2016,5,0.0
DAHANU,47.083333333333336,10.835196078431371,57.91852941176471,41.666666666666664,500.0,1996,25,0.0
TORANAGALLU VIJAYANAGAR,31.055555555555557,17.254901960784313,48.310457516339866,41.666666666666664,600.0,2009,12,0.0
BAKRESHWAR,35.0,23.448970588235298,58.4489705882353,41.666666666666664,1050.0,1999,22,0.0
PARAS,31.11111111111111,14.035555555555554,45.14666666666666,41.666666666666664,500.0,2007,14,0.0
AKRIMOTA,17.22222222222222,10.972222222222221,28.194444444444443,41.666666666666664,250.0,2006,15,0.0
CHHABRA,36.388888888888886,15.621176470588232,52.01006535947712,41.666666666666664,2320.0,2009,12,0.0
RAYALASEEMA,53.611111111111114,15.008169934640522,68.61928104575163,41.666666666666664,1650.0,1994,27,0.0
PARLI,48.611111111111114,11.95261437908497,60.563725490196084,41.666666666666664,750.0,2007,14,0.0
MAHANADI,41.111111111111114,19.02777777777778,60.13888888888889,41.666666666666664,1800.0,2013,8,0.0
THOOTHUKKUDI IBPGL,38.6363954204485,16.919160135107056,55.55555555555556,41.666666666666664,189.0,2010,11,0.0
PARICHHA,47.638888888888886,13.210784313725489,60.849673202614376,41.666666666666664,1140.0,1984,37,0.0
HALDIA KASBERE,37.24590242911995,18.309653126435606,55.55555555555556,41.666666666666664,300.0,2017,4,0.0
SOUTHERN (CESC),37.22304767247205,18.332507883083508,55.55555555555556,41.666666666666664,135.0,1990,31,0.0
AMARKANTAK,21.666666666666668,20.694444444444443,42.361111111111114,41.666666666666664,210.0,2009,12,0.0
BARSINGAR,15.13888888888889,26.263039215686277,41.40192810457516,41.666666666666664,250.0,2011,10,0.0
KHAMBERKHERA IPP,47.638888888888886,16.625816993464053,64.26470588235294,41.666666666666664,90.0,2011,10,0.0
AMRAVATI,46.80555555555556,19.456850614983708,66.26240617053926,41.666666666666664,1350.0,2013,8,0.0
KAKATIYA,38.05555555555556,21.46392156862745,59.519477124183005,41.666666666666664,1100.0,2010,11,0.0
BHAVNAGAR PADVA,40.69444444444444,23.635620915032682,64.33006535947712,41.666666666666664,500.0,2016,5,0.0
CHANDRAPUR GUPTA,31.013372000000004,7.916666666666667,38.93003866666667,41.666666666666664,120.0,2012,9,0.0
RAMAGUNDAM,35.0,8.944885620915032,43.94488562091503,41.666666666666664,2600.0,1983,38,0.0
RAMAGUNDAM-B,33.47222222222222,20.497107843137258,53.96933006535948,41.666666666666664,62.5,1970,51,0.0
HALDIA ENERGY,31.944444444444443,18.680000000000003,50.62444444444445,41.666666666666664,600.0,2015,6,0.0
TROMBAY,57.083333333333336,12.401960784313724,69.48529411764706,41.666666666666664,750.0,1984,37,0.0
TADALI,36.81059299302473,19.87187393379009,56.68246692681482,41.666666666666664,600.0,2014,7,0.0
SURAT,48.05555555555556,19.750000000000004,67.80555555555556,41.666666666666664,500.0,1999,22,0.0
BANDEL,55.27777777777778,18.333333333333332,73.61111111111111,41.666666666666664,330.0,1966,55,0.0
SINGARENI THERMAL,35.69444444444444,25.0,60.69444444444444,41.666666666666664,1200.0,2016,5,0.0
SATPURA,32.083333333333336,12.896241830065359,44.97957516339869,41.666666666666664,1330.0,1979,42,0.0
BINA,41.80555555555556,19.54423202614379,61.349787581699346,41.666666666666664,500.0,2012,9,0.0
TIRODA,30.694444444444443,16.909117647058824,47.603562091503264,41.666666666666664,3300.0,2012,9,0.0
MOUDA,41.111111111111114,16.805555555555557,57.91666666666667,41.666666666666664,2320.0,2012,9,0.0
KOTHAGUDEM,37.916666666666664,22.083333333333332,60.0,41.666666666666664,1800.0,1997,24,0.0
SALAYA,38.75,13.300653594771243,52.05065359477124,41.666666666666664,1200.0,2012,9,0.0
NASIK,45.416666666666664,8.537581699346406,53.95424836601307,41.666666666666664,630.0,1979,42,0.0
ROSA POWER,40.416666666666664,14.512254901960782,54.928921568627445,41.666666666666664,1200.0,2009,12,0.0
CHANDRAPUR,36.388888888888886,14.80563725490196,51.194526143790846,41.666666666666664,2920.0,1985,36,0.0
YERMARUS,39.30555555555556,18.872549019607845,58.1781045751634,41.666666666666664,1600.0,2017,4,0.0
UKAI,46.94444444444444,7.9440849673202605,54.8885294117647,41.666666666666664,1110.0,1979,42,0.0
NEYVELI ZERO,48.75,22.033921568627452,70.78392156862745,41.666666666666664,250.0,2002,19,0.0
UDUPI,50.55555555555556,14.379084967320264,64.93464052287582,41.666666666666664,1200.0,2010,11,0.0
NEYVELI 4,38.47222222222222,7.16264705882353,45.63486928104575,41.666666666666664,500.0,2012,9,0.0
SIMHAPURI,51.28618226733258,30.97222222222222,82.2584044895548,41.666666666666664,600.0,2012,9,0.0
BHADRADRI (MANUGURU),35.97222222222222,34.44444444444444,70.41666666666666,41.666666666666664,270.0,2018,3,0.0
BELA NAGPUR,36.81059298611112,19.871873930555555,56.68246691666667,41.666666666666664,270.0,2013,8,0.0
SHREE SINGAJI (MALWA),38.05555555555556,13.839869281045752,51.89542483660131,41.666666666666664,2520.0,2014,7,0.0
VIZAG HINDUJA,38.333333333333336,9.526143790849673,47.85947712418301,41.666666666666664,1040.0,2016,5,0.0
NEYVELI 1,33.065176774123394,22.490378781432163,55.55555555555556,41.666666666666664,100.0,1970,51,0.0
GIRAL,18.61111111111111,25.833333333333332,44.44444444444444,41.666666666666664,250.0,2003,18,0.0
HAZIRA-2,41.666666666666664,18.513071895424837,60.1797385620915,41.666666666666664,270.0,2015,6,0.0
NEYVELI 2,39.861111111111114,10.876797385620916,50.73790849673203,41.666666666666664,1470.0,1986,35,0.0
NEYVELI 3,35.416666666666664,36.111111111111114,71.52777777777777,41.666666666666664,420.0,2002,19,0.0
DR NARLA TATA RAO,43.75,15.31544117647059,59.065441176470586,41.666666666666664,1760.0,1979,42,0.0
KORADI,30.555555555555557,15.277777777777779,45.833333333333336,41.666666666666664,2400.0,1982,39,0.0
FEROZE GANDHI UNCHAHAR,34.861111111111114,10.845947712418301,45.707058823529415,41.666666666666664,1550.0,1988,33,0.0
SANJAY GANDHI (BIRSINGPUR),29.166666666666668,13.75,42.91666666666667,41.666666666666664,1340.0,1993,28,0.0
TANDA,35.416666666666664,17.03333333333333,52.449999999999996,41.666666666666664,1100.0,1988,33,0.0
MAHADEV PRASAD,35.69444444444444,19.861111111111114,55.55555555555556,41.666666666666664,540.0,2012,9,0.0
NIWARI,50.0,5.555555555555557,55.55555555555556,41.666666666666664,90.0,2013,8,0.0
BHUSAWAL,38.05555555555556,13.390522875816993,51.44607843137255,41.666666666666664,1210.0,1982,39,0.0
MEENAKSHI THAMMINAPATNAM,38.26325116666666,20.13888888888889,58.40214005555555,41.666666666666664,300.0,2012,9,0.0
KHAPERKHEDA,35.27777777777778,10.431176470588234,45.70895424836601,41.666666666666664,1340.0,1989,32,0.0
DR SP MUKHERJEE,23.47222222222222,21.944444444444443,45.416666666666664,41.666666666666664,500.0,2007,14,0.0
MIHAN SEZ,36.81059299302473,19.87187393379009,56.68246692681482,41.666666666666664,246.0,2012,9,0.0
TORANGALLU WORKS,31.698936513527805,23.856619042027752,55.55555555555556,41.666666666666664,260.0,2000,21,0.0
KORBA SWASTIK,21.481123462757104,21.348427456381998,42.8295509191391,41.666666666666664,25.0,2015,6,0.0
KALISINDH,39.72222222222222,15.547385620915033,55.26960784313725,41.666666666666664,1200.0,2014,7,0.0
KUTCH ABG,30.823460821917806,24.73209473363775,55.55555555555556,41.666666666666664,50.0,2013,8,0.0
SALORA,22.790533432448534,20.905885198045034,43.69641863049357,41.666666666666664,135.0,2014,7,0.0
MUNDRA ADANI,41.80555555555556,21.13437908496732,62.93993464052288,41.666666666666664,4620.0,2010,11,0.0
KORBA BALCO-III,17.77777777777778,19.166666666666668,36.94444444444444,41.666666666666664,600.0,2015,6,0.0
CHANDRAPURA,30.073572847222223,40.27777777777778,70.35135062500001,41.666666666666664,500.0,2010,11,0.0
DURGAPUR STEEL CITY,30.13888888888889,17.867450980392157,48.00633986928105,41.666666666666664,1000.0,2011,10,0.0
MUNDRA UMPP,18.194444444444443,11.212924836601307,29.40736928104575,41.666666666666664,4150.0,2012,9,1.0
KAMALANGA,24.02777777777778,17.559983660130722,41.5877614379085,41.666666666666664,1050.0,2013,8,0.0
BUTIBORI,30.27777777777778,17.63888888888889,47.91666666666667,41.666666666666664,600.0,2012,9,0.0
SVP RENKI,29.049485147970188,26.50607040758537,55.55555555555556,41.666666666666664,63.0,2010,11,0.0
CUDDALORE ILFS,37.59196605555556,18.47222222222222,56.06418827777778,41.666666666666664,1200.0,2015,6,0.0
MARWA,16.666666666666668,28.676470588235297,45.34313725490196,41.666666666666664,1000.0,2015,6,0.0
LANCO AMARKANTAK,30.0,18.75,48.75,41.666666666666664,600.0,2009,12,0.0
KODERMA,35.138888888888886,20.067287581699347,55.20617647058823,41.666666666666664,1000.0,2011,10,0.0
BHILAI,35.97222222222222,22.576666666666668,58.54888888888889,41.666666666666664,500.0,2009,12,0.0
KAWAI ADANI,36.94444444444444,14.769607843137253,51.714052287581694,41.666666666666664,1320.0,2013,8,0.0
MAITHON RB POWER,37.638888888888886,17.24264705882353,54.881535947712415,41.666666666666664,1050.0,2011,10,0.0
DURGAPUR DVC,50.97222222222222,22.287581699346404,73.25980392156862,41.666666666666664,210.0,1982,39,0.0
RAGHUNATHPUR,27.916666666666664,12.941176470588236,40.8578431372549,41.666666666666664,1200.0,2014,7,0.0
SIMHADRI,43.611111111111114,15.0559477124183,58.667058823529416,41.666666666666664,2000.0,2002,19,0.0
JALLIPA KAPURDI,34.72222222222222,17.202777777777776,51.925,41.666666666666664,1080.0,2009,12,0.0
KORBA WEST HASDEO,54.30555555555556,16.38888888888889,70.69444444444444,41.666666666666664,1340.0,1983,38,0.0
KORBA WEST POWER,36.25,25.97222222222222,62.22222222222222,41.666666666666664,600.0,2014,7,0.0
FARAKKA,36.666666666666664,17.332205882352937,53.9988725490196,41.666666666666664,2130.0,1986,35,0.0
BARA-PRAYAGRAJ,31.38888888888889,15.416666666666666,46.80555555555556,41.666666666666664,1980.0,2015,6,0.0
BARADARHA,32.5,11.678970588235295,44.178970588235295,41.666666666666664,1200.0,2014,7,0.0
KHARGONE,37.361111111111114,32.916666666666664,70.27777777777777,41.666666666666664,1320.0,2019,2,0.0
GADARWARA,34.30555555555556,22.761437908496735,57.06699346405229,41.666666666666664,800.0,2018,3,0.0
BARH,37.361111111111114,9.498333333333331,46.85944444444445,41.666666666666664,1980.0,2014,7,0.0
KORBA EAST,22.555179638888887,21.944444444444443,44.49962408333333,41.666666666666664,240.0,1976,45,0.0
ANGUL-I,24.305555555555557,14.711601307189543,39.0171568627451,41.666666666666664,1200.0,2014,7,0.0
BOKAROA,41.666666666666664,21.317401960784316,62.98406862745098,41.666666666666664,500.0,2017,4,0.0
KORBA STPS,19.72222222222222,9.444444444444445,29.166666666666664,41.666666666666664,2600.0,1983,38,0.0
KOLAGHAT,53.47222222222222,15.367647058823529,68.83986928104575,41.666666666666664,1260.0,1984,37,0.0
OBRA,30.694444444444443,6.02124183006536,36.71568627450981,41.666666666666664,1100.0,1974,47,0.0
NABINAGAR BRBC,32.083333333333336,30.30228758169935,62.38562091503269,41.666666666666664,750.0,2016,5,0.0
MEJA,32.22222222222222,20.490196078431367,52.71241830065359,41.666666666666664,660.0,2017,4,0.0
BUDGE BUDGE,33.05555555555556,28.055555555555557,61.111111111111114,41.666666666666664,750.0,1997,24,0.0
SOLAPUR,41.25,23.88888888888889,65.13888888888889,41.666666666666664,660.0,2017,4,0.0
DURGAPUR DPL,58.93883249999999,41.388888888888886,100.32772138888888,41.666666666666664,550.0,2008,13,0.0
BOKAROB,41.666666666666664,18.962418300653596,60.62908496732026,41.666666666666664,210.0,1993,28,0.0
IB VALLEY-I,22.5,25.419526143790847,47.91952614379085,41.666666666666664,1740.0,1995,26,0.0
KANTI MUZAFFARPUR,38.05555555555556,37.916666666666664,75.97222222222223,41.666666666666664,610.0,1985,36,0.0
JOJOBERA,34.72222222222222,10.101209150326797,44.82343137254902,41.666666666666664,547.5,1996,25,0.0
RAJIV GANDHI STPS,20.694444444444443,11.25,31.944444444444443,41.666666666666664,2980.0,2008,13,0.0
RAIKHEDA,43.611111111111114,11.053921568627452,54.665032679738566,41.666666666666664,1370.0,2015,6,0.0
TALCHER KANIHA,29.86111111111111,8.479395424836602,38.34050653594771,41.666666666666664,3000.0,1995,26,0.0
TALCHER,27.36111111111111,19.536323529411767,46.897434640522874,41.666666666666664,470.0,1967,54,0.0
TITAGARH,87.66983513237743,0.0,87.66983513237743,41.666666666666664,240.0,1983,38,0.0
BARAUNI,53.47222222222222,19.411764705882355,72.88398692810458,41.666666666666664,720.0,1983,38,0.0
SANTALDIH,36.388888888888886,19.378284313725487,55.76717320261437,41.666666666666664,500.0,2009,12,0.0
JHARSUGUDA STERLITE,22.59722222222222,15.88888888888889,38.486111111111114,41.666666666666664,2400.0,2011,10,0.0
BANDAKHAR,34.72222222222222,23.145522875816997,57.86774509803922,41.666666666666664,300.0,2015,6,0.0
MEJIA,37.638888888888886,14.355294117647057,51.99418300653594,41.666666666666664,2340.0,1996,25,0.0
WARORA EMCO,31.805555555555557,32.33588235294118,64.14143790849673,41.666666666666664,600.0,2013,8,0.0
RATIJA,18.61111111111111,16.075996732026145,34.687107843137255,41.666666666666664,100.0,2013,8,0.0
WARDHA WARORA,29.583333333333332,14.468954248366016,44.052287581699346,41.666666666666664,540.0,2010,11,0.0
UCHPINDA,27.22222222222222,20.84967320261438,48.0718954248366,41.666666666666664,1440.0,2015,6,0.0
TAMNAR,22.22222222222222,7.279411764705882,29.501633986928105,41.666666666666664,3400.0,2007,14,0.0
BINJKOTE,30.0,15.7828431372549,45.7828431372549,41.666666666666664,600.0,2017,4,0.0
NAWAPARA,22.22222222222222,7.998366013071895,30.220588235294116,41.666666666666664,600.0,2016,5,0.0
KASAIPALLI,31.944444444444443,23.611111111111114,55.55555555555556,41.666666666666664,270.0,2011,10,0.0
ANPARA,23.47222222222222,18.809215686274513,42.281437908496734,41.666666666666664,2630.0,1987,34,0.0
ANPARA-C,25.694444444444443,10.051601307189541,35.746045751633986,41.666666666666664,1200.0,2011,10,0.0
ANUPPUR,33.611111111111114,19.917156862745095,53.52826797385621,41.666666666666664,1200.0,2015,6,0.0
LARA,28.75,23.194444444444443,51.94444444444444,41.666666666666664,1600.0,2018,3,0.0
RIHAND,18.194444444444443,11.527777777777779,29.72222222222222,41.666666666666664,3000.0,1988,33,0.0
MAHAN ESSAR,50.0,5.555555555555557,55.55555555555556,41.666666666666664,1200.0,2013,8,0.0
VINDHYACHAL,24.583333333333332,11.805555555555555,36.388888888888886,41.666666666666664,4760.0,1987,34,0.397058823529412
SINGRAULI,18.194444444444443,8.75,26.944444444444443,41.666666666666664,2050.0,1982,39,0.0
TENUGHAT,32.5,17.903382352941176,50.40338235294118,41.666666666666664,420.0,1995,26,0.0
CHINAKURI,23.75,12.36111111111111,36.111111111111114,41.666666666666664,30.0,1991,30,0.0
VANDANA GLOBAL KATGHORA,22.790533432448534,20.905885198045034,43.69641863049357,41.666666666666664,35.0,2012,9,0.0
SASAN UMPP,16.52777777777778,1.8055555555555556,18.333333333333336,41.666666666666664,3960.0,2013,8,1.0
JAYPEE NIGRIE,8.194444444444445,32.083333333333336,40.27777777777778,41.666666666666664,1320.0,2014,7,0.0
