,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
RATNAGIRI,8.935199999999998,8.935199999999998,8.935199999999998,3.0353428888893568,8.935199999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BELLARY,3.723,3.723,12.658199999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TALWANDI SABO,4.3362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BARKHERA IPP,0.1971,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KUNDARKI IPP,0.1971,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MAQSOODPUR,0.1971,0.1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GOINDWAL SAHIB,4.02084,4.02084,4.02084,4.02084,4.02084,4.02084,4.02084,1.1825999999999999,4.02084,4.02084,4.02084,4.02084,1.1825999999999999,4.02084,4.02084,3.1386110000004965,4.02084,4.02084,4.02084,4.02084
BONGAIGAON NTPC,5.5845,5.5845,5.5845,5.5845,5.5845,5.5845,5.5845,1.6425,5.5845,5.5845,5.5845,5.5845,1.6425,5.5845,5.5845,5.5845,5.5845,5.5845,5.5845,5.5845
NEYVELI NEW THERMAL,3.723,3.723,3.723,3.723,3.723,3.723,3.723,1.095,3.723,3.723,3.723,3.723,1.8081350000005867,3.723,3.723,3.723,3.723,3.723,3.723,3.723
MUTIARA,8.935199999999998,8.935199999999998,8.935199999999998,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,2.628,3.168047000000595,2.628,2.628,2.628
HARDUAGANJ,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,3.7149608888892196,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999,4.542059999999999
DARLIPALI,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,1.752,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568,5.9568
SAGARDIGHI,3.504,3.504,3.504,3.504,11.9136,3.504,3.504,3.504,11.9136,3.504,3.504,3.504,3.504,3.504,11.9136,3.504,11.9136,3.504,11.9136,3.504
NASIK SINNAR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
