Plant,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
RATNAGIRI,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELLARY,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TALWANDI SABO,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BARKHERA IPP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUNDARKI IPP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAQSOODPUR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOINDWAL SAHIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BONGAIGAON NTPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEYVELI NEW THERMAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MUTIARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HARDUAGANJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DARLIPALI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAGARDIGHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NASIK SINNAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KUTCH OPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAHAJBAHAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJPURA NABHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INDIRA GANDHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
GURU HARGOBIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAICHUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAHATMA GANDHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAJIV GANDHI (HISAR),0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
KUTCH GSECL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHENNAI OPG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRI DAMODARAM SANJEEVAIAH,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METTUR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VADINAR POWER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUMMIDIPOONDI CAUVERY,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NORTH CHENNAI,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
PANIPAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GANDHINAGAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PALONCHA PLANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHULE SHIRPUR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARADIP ESSAR,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KAHALGAON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOTA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GURU GOBIND SINGH (ROPAR),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
THERMAL POWERTECH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
VALLUR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SURATGARH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTRAULA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAADURGA TANGI,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KHARAGPRASAD,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCTPP (DADRI),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TUTICORIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUTICORIN NTPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WANAKBORI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DEENBANDHU CHHOTU RAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
